CAD,burned_fraction,dxb_dCAD,Qdot_W,q_W_m3,volume_m3
-180.0,0.0,0.0,0.0,0.0,9.428526853963951e-06
-13.0,0.0,0.0,0.0,0.0,1.0757655849853911e-06
-12.9,2.7010425927930047e-10,1.0804171792289342e-08,0.0012682321054854964,1181.1332899027502,1.0737417328995252e-06
-12.8,4.321668704135987e-09,8.643337398847454e-08,0.010145856802818484,9466.775573305573,1.0717331074614027e-06
-12.7,2.18784476688258e-08,2.91712632094694e-07,0.034242266108930275,32009.90440436475,1.0697397179437102e-06
-12.6,6.91466971546405e-08,6.914669471282624e-07,0.08116684916616695,76015.8926644523,1.0677615735495194e-06
-12.5,1.688151700511702e-07,1.3505212466400757e-06,0.15852898649312516,148741.9612731949,1.0657986834122376e-06
-12.4,3.500551049118261e-07,2.333700291657169e-06,0.2739380390612385,257496.6085364193,1.0638510565955425e-06
-12.3,6.485202019490188e-07,3.705828524852318e-06,0.43500333047238554,409639.014375462,1.0619187020933397e-06
-12.2,1.1063465804700517e-06,5.531729845247725e-06,0.6493341205128073,612578.4176668853,1.0600016288296813e-06
-12.1,1.7721527099743916e-06,7.876227294759952e-06,0.924539568358637,873773.4649068528,1.0580998456587327e-06
-12.0,2.7010393046880367e-06,1.0804142641894615e-05,1.2682286837085024,1200731.528400546,1.05621336136469e-06
-11.9,3.954589169754843e-06,1.4380295847899067e-05,1.6880102641186292,1601007.9921635631,1.054342184661735e-06
-11.8,5.600866989416195e-06,1.8669504400683866e-05,2.191492816816176,2082205.5037099544,1.0524863241939854e-06
-11.7,7.714419039508804e-06,2.3736582501825123e-05,2.786284463266676,2651973.189889886,1.0506457885354288e-06
-11.6,1.037627281205597e-05,2.9646340091962235e-05,3.47999282477176,3318005.834929114,1.0488205861898692e-06
-11.5,1.3673936532726188e-05,3.646358169991066e-05,4.280224887373919,4088043.018812773,1.0470107255908863e-06
-11.4,1.7701398554378006e-05,4.425310510081124e-05,5.1945868443453,4969868.214147083,1.0452162151017484e-06
-11.3,2.2559126606242524e-05,5.3079699768645825e-05,6.230683914538493,5971307.839624447,1.0434370630153877e-06
-11.2,2.8354066877183675e-05,6.300814510845562e-05,7.3961201348780214,7100230.268211084,1.0416732775543471e-06
-11.1,3.519964291058735e-05,7.410320845360544e-05,8.698498125272113,8364544.788170393,1.0399248668707011e-06
-11.0,4.3215754287096764e-05,8.642964281345323e-05,10.145418824226123,9772200.515030563,1.0381918390460282e-06
