CAD,T_mean_K,p_mean_Pa
90.0,370.902404,208246.673
100.0,354.137113,176371.799
110.0,341.004241,153653.48
120.0,330.813876,137263.993
130.0,323.05996,125397.276
140.0,317.354791,116877.639
150.0,313.404112,110933.442
160.0,310.991138,107062.903
170.0,309.965753,104954.07
180.0,310.237431,104438.342
