CAD,T_min_K,T_max_K,cells_below_200K,pct_below_200K,cells_below_250K,pct_below_250K,cells_above_900K,pct_above_900K,cells_above_1000K,pct_above_1000K,extreme_cells,extreme_pct
90.0,320.03092,410.78359,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100.0,322.53538,409.54637,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
110.0,313.28789,410.3563,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120.0,305.78782,412.71977,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
130.0,299.39474,416.10513,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
140.0,294.77116,420.19822,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
150.0,291.15153,424.81849,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
160.0,288.81744,429.8336,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
170.0,287.75265,435.15369,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
180.0,287.89862,440.77825,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
