CAD,T_mean_K,T_max_K,p_mean_Pa,p_mean_bar
94,2180.0576,2388.577,1142960.5,11.429605
95,2171.4437,2379.6413,1124638.5,11.246385
96,2162.9942,2370.878,1106909.8,11.069098
97,2154.7063,2362.284,1089752.2,10.897522
98,2146.5768,2353.8563,1073144.5,10.731445
99,2138.6031,2345.5921,1057066.4,10.570664
100,2130.7822,2337.4884,1041498.5,10.414985
101,2123.1115,2329.5426,1026422.4,10.264224
102,2115.5883,2321.7518,1011820.2,10.118202
103,2108.21,2314.1135,997675,9.97675
104,2100.974,2306.625,983970.67,9.8397067
105,2093.8778,2299.2837,970691.64,9.7069164
106,2086.919,2292.0873,957823.08,9.5782308
107,2080.0952,2285.0332,945350.78,9.4535078
108,2073.404,2278.1192,933261.14,9.3326114
109,2066.8433,2271.3429,921541.16,9.2154116
110,2060.4106,2264.7019,910178.35,9.1017835
111,2054.104,2258.1942,899160.78,8.9916078
112,2047.9213,2251.8175,888477,8.88477
113,2041.8603,2245.5697,878116.05,8.7811605
114,2035.9192,2239.4487,868067.41,8.6806741
115,2030.096,2233.4526,858321,8.58321
116,2024.3885,2227.5793,848867.16,8.4886716
117,2018.7951,2221.827,839696.62,8.3969662
118,2013.3139,2216.1937,830800.51,8.3080051
119,2007.9431,2210.6777,822170.28,8.2217028
120,2002.6809,2205.2771,813797.76,8.1379776
121,1997.5256,2199.9901,805675.12,8.0567512
122,1992.4755,2194.8152,797794.81,7.9779481
123,1987.5291,2189.7505,790149.59,7.9014959
124,1982.6848,2184.7945,782732.54,7.8273254
125,1977.941,2179.9456,775536.98,7.7553698
126,1973.2962,2175.2022,768556.52,7.6855652
127,1968.749,2170.5628,761785,7.61785
128,1964.2978,2166.026,755216.53,7.5521653
129,1959.9413,2161.5903,748845.43,7.4884543
130,1955.6783,2157.2543,742666.27,7.4266627
131,1951.5072,2153.0167,736673.8,7.366738
132,1947.4269,2148.876,730863.02,7.3086302
133,1943.4361,2144.8311,725229.1,7.252291
134,1939.5336,2140.8806,719767.43,7.1976743
135,1935.7182,2137.0234,714473.53,7.1447353
136,1931.9888,2133.2581,709343.15,7.0934315
137,1928.3442,2129.5837,704372.18,7.0437218
