domain,E_piston_J,E_cylinderHead_J,E_cylinderWall_J,E_total_J
wedge5deg,0.02772323669,0.01071333434,-0.05422630253,-0.0157897315
fullCylinder,1.996073042,0.7713600722,-3.904293782,-1.136860668
