domain,E_piston_J,E_cylinderHead_J,E_cylinderWall_J,E_total_J
wedge5deg,1.003713014,0.8385444551,1.31002305,3.152280519
fullCylinder,72.26733701,60.37520077,94.32165957,226.9641973
