CAD,Qloss_piston_W,Qloss_cylinderHead_W,Qloss_cylinderWall_W,Qloss_total_W,q_piston_W_m2,q_cylinderHead_W_m2,q_cylinderWall_W_m2
37,40.470677,31.843967,21.790209,94.104853,545130.33,428930.61,227952.12
38,38.694072,30.356779,22.083024,91.133875,521199.89,408898.54,224943.16
39,37.011682,28.951646,22.375723,88.339051,498538.5,389971.74,221970.42
40,35.418062,27.625813,22.667908,85.711783,477072.81,372113.09,219034.27
41,33.909013,26.373003,22.959194,83.24121,456746.29,355238.04,216135.01
42,32.480015,25.188625,23.249265,80.917905,437498.02,339284.75,213273.36
43,31.126672,24.069342,23.537803,78.733817,419268.83,324208.27,210449.76
44,29.844694,23.01186,23.824491,76.681045,402000.89,309964.24,207664.4
45,28.630608,22.010529,24.109022,74.750159,385647.43,296476.56,204917.41
46,27.480827,21.064209,24.391084,72.93612,370160.16,283729.86,202208.63
47,26.391413,20.167866,24.670367,71.229646,355486.01,271656.33,199537.81
48,25.358759,19.319748,24.946586,69.625093,341576.42,260232.37,196904.71
49,24.379714,18.516128,25.219479,68.115321,328388.91,249407.81,194309.17
50,23.451137,17.755404,25.488829,66.69537,315881.2,239161.04,191751.21
51,22.570299,17.033714,25.754408,65.358421,304016.52,229440.04,189230.63
52,21.734307,16.349708,26.016011,64.100026,292755.92,220226.66,186747.24
53,20.940777,15.701001,26.273438,62.915216,282067.25,211488.72,184300.79
54,20.187053,15.085382,26.526495,61.79893,271914.77,203196.48,181890.95
55,19.470972,14.500807,26.775017,60.746796,262269.33,195322.39,179517.49
56,18.790501,13.945775,27.018862,59.755138,253103.55,187846.25,177180.21
57,18.143532,13.418829,27.257881,58.820242,244389.03,180748.41,174878.79
58,17.528075,12.917509,27.491944,57.937528,236098.98,173995.75,172612.91
59,16.942465,12.4413,27.720932,57.104697,228210.95,167581.33,170382.25
60,16.384917,11.988008,27.944735,56.31766,220700.91,161475.6,168186.47
61,15.853853,11.556875,28.163259,55.573987,213547.6,155668.33,166025.24
62,15.347878,11.146549,28.376431,54.870858,206732.24,150141.35,163898.28
63,14.865559,10.755518,28.584187,54.205264,200235.52,144874.25,161805.28
64,14.405547,10.383161,28.786468,53.575176,194039.28,139858.69,159745.92
65,13.966595,10.028359,28.983228,52.978182,188126.7,135079.59,157719.87
66,13.547594,9.6898496,29.17442,52.4118636,182482.85,130519.96,155726.73
67,13.14741,9.3671287,29.360018,51.8745567,177092.46,126172.98,153766.19
68,12.765006,9.0592655,29.539999,51.3642705,171941.58,122026.14,151837.87
69,12.399409,8.7652067,29.714348,50.8789637,167017.07,118065.24,149941.39
70,12.04973,8.4845413,29.883055,50.4173263,162306.97,114284.74,148076.39
71,11.715135,8.2163226,30.046121,49.9775786,157800.06,110671.9,146242.49
72,11.394743,7.9600206,30.203572,49.5583356,153484.46,107219.57,144439.38
73,11.087849,7.7151212,30.355428,49.1583982,149350.67,103920.84,142666.73
74,10.793789,7.4806785,30.501706,48.7761735,145389.76,100762.95,140924.13
75,10.511833,7.2565599,30.642438,48.4108309,141591.87,97744.124,139211.21
76,10.241395,7.0420476,30.777655,48.0610976,137949.14,94854.696,137527.57
77,9.9818457,6.8366185,30.907393,47.7258572,134453.07,92087.615,135872.83
78,9.7326708,6.6399081,31.031693,47.4042719,131096.75,89437.973,134246.6
79,9.4933447,6.4514442,31.150604,47.0953929,127873.08,86899.41,132648.49
80,9.2633583,6.2708999,31.264197,46.7984552,124775.22,84467.52,131078.19
81,9.0422504,6.0977398,31.372525,46.5125152,121796.95,82135.096,129535.31
82,8.8295876,5.931684,31.475648,46.2369196,118932.43,79898.363,128019.45
83,8.6249624,5.7723602,31.573628,45.9709506,116176.18,77752.31,126530.23
84,8.4280082,5.6194196,31.666536,45.7139638,113523.25,75692.236,125067.29
85,8.23831,5.4727233,31.754453,45.4654863,110968.06,73716.273,123630.28
86,8.0555869,5.3317636,31.837445,45.2247955,108506.83,71817.58,122218.79
87,7.8794912,5.1964218,31.915581,44.991494,106134.86,69994.558,120832.44
88,7.7097185,5.0663326,31.988944,44.7649951,103848.06,68242.287,119470.86
89,7.545966,4.9413152,32.057611,44.5448922,101642.36,66558.332,118133.68
90,7.3879586,4.8211172,32.121665,44.3307408,99514.033,64939.295,116820.54
91,7.2354727,4.7055751,32.181183,44.1222308,97460.085,63382.97,115531.04
92,7.0882403,4.5943881,32.236242,43.9188704,95476.9,61885.308,114264.8
93,6.9460422,4.4874157,32.28692,43.7203779,93561.525,60444.415,113021.43
94,6.8086837,4.3844544,32.333294,43.5264321,91711.339,59057.551,111800.56
95,6.6759632,4.2853132,32.375443,43.3367194,89923.626,57722.142,110601.8
96,6.5476646,4.1898733,32.413448,43.1509859,88195.475,56436.591,109424.79
97,6.4236126,4.0979596,32.447403,42.9689752,86524.524,55198.534,108269.19
98,6.3035616,4.0094069,32.477416,42.7903845,84907.466,54005.751,107134.75
99,6.1872819,3.92406,32.503603,42.6149449,83341.206,52856.148,106021.2
100,6.0745405,3.8417725,32.526073,42.442386,81822.607,51747.756,104928.28
101,5.9651908,3.7624583,32.544907,42.2725561,80349.692,50679.413,103855.63
102,5.8591015,3.6859825,32.560168,42.105252,78920.695,49649.302,102802.83
103,5.7562074,3.6122178,32.571908,41.9403332,77534.735,48655.709,101769.45
104,5.6563835,3.5410912,32.580183,41.7776577,76190.131,47697.651,100755.08
105,5.5595429,3.4723935,32.585053,41.6169894,74885.713,46772.309,99759.321
106,5.4655637,3.4061553,32.586585,41.458304,73619.834,45880.096,98781.813
107,5.3743476,3.342181,32.584844,41.3013726,72391.175,45018.378,97822.194
108,5.2857958,3.2804172,32.579896,41.146109,71198.404,44186.434,96880.117
109,5.1998114,3.220811,32.571811,40.9924334,70040.215,43383.554,95955.249
110,5.1163217,3.1631905,32.560651,40.8401632,68915.629,42607.419,95047.251
111,5.035229,3.1075914,32.546488,40.6893084,67823.329,41858.512,94155.81
112,4.9564555,3.0538144,32.529384,40.5396539,66762.27,41134.149,93280.602
113,4.8799308,3.0018977,32.50941,40.3912385,65731.5,40434.844,92421.33
114,4.8055689,2.9517285,32.486631,40.2439284,64729.862,39759.076,91577.69
115,4.7333037,2.9032362,32.461112,40.0976519,63756.468,39105.897,90749.391
116,4.6630623,2.8563545,32.432919,39.9523358,62810.332,38474.411,89936.146
117,4.5947962,2.8110198,32.402117,39.807933,61890.805,37863.764,89137.673
118,4.5284268,2.7672051,32.368772,39.6644039,60996.825,37273.59,88353.707
